epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,2290.49,0.97501,1.51711,0.88261,1.12127,0,0.69435,0.73896,0.74749,0.50572,0.6705,0.51004,0.51601,0.17612,1.18501,1.26989,1.17282,1.17106,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2386.37,0.97364,1.51367,0.87885,1.12052,0,0.8019,0.74699,0.77186,0.5129,0.71614,0.60792,0.55685,0.18453,1.17815,1.26437,1.14481,1.13494,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2482.26,0.96818,1.52585,0.87048,1.1243,0,0.83753,0.69076,0.7738,0.50859,0.72091,0.59438,0.59176,0.18864,1.24345,1.23776,1.15804,1.15523,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2577.71,0.95506,1.51129,0.86296,1.10748,0,0.84609,0.73494,0.80325,0.56842,0.74899,0.6506,0.64594,0.20531,1.08608,1.20485,1.02636,1.10381,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2674.15,0.95358,1.52369,0.86018,1.10907,0,0.82684,0.6988,0.78039,0.54244,0.75783,0.61581,0.64584,0.21518,1.1532,1.20203,1.07343,1.12423,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2769.39,0.96514,1.51046,0.88525,1.11972,0,0.80872,0.7471,0.77117,0.54059,0.694,0.64257,0.61397,0.20669,1.10477,1.19066,1.09427,1.1199,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2864,0.93063,1.4995,0.84436,1.10764,0,0.8187,0.76169,0.80203,0.55318,0.73196,0.63052,0.63706,0.2128,1.13052,1.21602,1.06946,1.12484,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2962.92,0.93259,1.50275,0.84457,1.09841,0,0.77261,0.69591,0.73501,0.51595,0.70306,0.61847,0.61416,0.197,1.15104,1.26555,1.1447,1.1256,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,3058.39,0.94507,1.49444,0.83892,1.1089,0,0.83658,0.74015,0.79302,0.5467,0.73727,0.67618,0.62878,0.21027,1.1091,1.20319,1.10856,1.09058,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3153.49,0.93557,1.50852,0.82643,1.10196,0,0.82743,0.75502,0.7753,0.54488,0.69684,0.6462,0.58841,0.19347,1.0689,1.23044,1.05121,1.09927,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3248.28,0.92791,1.48802,0.83187,1.09808,0,0.85719,0.67068,0.77784,0.56918,0.76254,0.59325,0.61612,0.20861,1.06276,1.24016,1.07287,1.10464,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3347.22,0.91853,1.49931,0.82616,1.09147,0,0.85475,0.70903,0.78768,0.55427,0.75766,0.62779,0.63946,0.21323,1.09186,1.18227,1.08938,1.09201,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3457.25,0.91633,1.48536,0.82284,1.09231,0,0.85133,0.75889,0.79446,0.5604,0.73736,0.63855,0.62347,0.1925,1.07154,1.21808,1.0324,1.08872,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
